,emotion,top face,scrambling,emotion intensity,left face,gender,correct answer,block,right face
153,fear,24M_FE_C100_cell14rand_a.jpg,14,100,24M_FE_C100_cell14rand_a.jpg,m,left,38,24M_FE_C100_cell14rand_b.jpg
154,happiness,24M_HA_C100_cell14rand_a.jpg,14,100,24M_HA_C100_cell14rand_b.jpg,m,right,38,24M_HA_C100_cell14rand_a.jpg
155,fear,22M_FE_C100_cell14rand_a.jpg,14,100,22M_FE_C100_cell14rand_a.jpg,m,left,38,22M_FE_C100_cell14rand_b.jpg
156,fear,05F_FE_C100_cell14rand_a.jpg,14,100,05F_FE_C100_cell14rand_b.jpg,f,right,39,05F_FE_C100_cell14rand_a.jpg
157,happiness,23M_HA_C100_cell14rand_a.jpg,14,100,23M_HA_C100_cell14rand_a.jpg,m,left,39,23M_HA_C100_cell14rand_b.jpg
158,happiness,02F_HA_C100_cell14rand_a.jpg,14,100,02F_HA_C100_cell14rand_b.jpg,f,right,39,02F_HA_C100_cell14rand_a.jpg
159,happiness,21M_HA_C100_cell14rand_a.jpg,14,100,21M_HA_C100_cell14rand_b.jpg,m,right,39,21M_HA_C100_cell14rand_a.jpg
160,happiness,08F_HA_C100_cell18rand_a.jpg,18,100,08F_HA_C100_cell18rand_b.jpg,f,right,40,08F_HA_C100_cell18rand_a.jpg
161,fear,22M_FE_C100_cell18rand_a.jpg,18,100,22M_FE_C100_cell18rand_a.jpg,m,left,40,22M_FE_C100_cell18rand_b.jpg
162,happiness,28M_HA_C100_cell18rand_a.jpg,18,100,28M_HA_C100_cell18rand_b.jpg,m,right,40,28M_HA_C100_cell18rand_a.jpg
163,happiness,24M_HA_C100_cell18rand_a.jpg,18,100,24M_HA_C100_cell18rand_b.jpg,m,right,40,24M_HA_C100_cell18rand_a.jpg
164,happiness,05F_HA_C100_cell18rand_a.jpg,18,100,05F_HA_C100_cell18rand_b.jpg,f,right,41,05F_HA_C100_cell18rand_a.jpg
165,happiness,23M_HA_C100_cell18rand_a.jpg,18,100,23M_HA_C100_cell18rand_a.jpg,m,left,41,23M_HA_C100_cell18rand_b.jpg
166,fear,05F_FE_C100_cell18rand_a.jpg,18,100,05F_FE_C100_cell18rand_b.jpg,f,right,41,05F_FE_C100_cell18rand_a.jpg
167,happiness,04F_HA_C100_cell18rand_a.jpg,18,100,04F_HA_C100_cell18rand_b.jpg,f,right,41,04F_HA_C100_cell18rand_a.jpg
168,happiness,02F_HA_C100_cell18rand_a.jpg,18,100,02F_HA_C100_cell18rand_a.jpg,f,left,42,02F_HA_C100_cell18rand_b.jpg
169,fear,27M_FE_C100_cell18rand_a.jpg,18,100,27M_FE_C100_cell18rand_a.jpg,m,left,42,27M_FE_C100_cell18rand_b.jpg
170,fear,23M_FE_C100_cell18rand_a.jpg,18,100,23M_FE_C100_cell18rand_b.jpg,m,right,42,23M_FE_C100_cell18rand_a.jpg
171,fear,06F_FE_C100_cell18rand_a.jpg,18,100,06F_FE_C100_cell18rand_a.jpg,f,left,42,06F_FE_C100_cell18rand_b.jpg
172,fear,08F_FE_C100_cell18rand_a.jpg,18,100,08F_FE_C100_cell18rand_b.jpg,f,right,43,08F_FE_C100_cell18rand_a.jpg
173,fear,03F_FE_C100_cell18rand_a.jpg,18,100,03F_FE_C100_cell18rand_a.jpg,f,left,43,03F_FE_C100_cell18rand_b.jpg
174,fear,25M_FE_C100_cell18rand_a.jpg,18,100,25M_FE_C100_cell18rand_a.jpg,m,left,43,25M_FE_C100_cell18rand_b.jpg
175,happiness,22M_HA_C100_cell18rand_a.jpg,18,100,22M_HA_C100_cell18rand_a.jpg,m,left,43,22M_HA_C100_cell18rand_b.jpg
176,fear,02F_FE_C100_cell18rand_a.jpg,18,100,02F_FE_C100_cell18rand_b.jpg,f,right,44,02F_FE_C100_cell18rand_a.jpg
177,happiness,21M_HA_C100_cell18rand_a.jpg,18,100,21M_HA_C100_cell18rand_b.jpg,m,right,44,21M_HA_C100_cell18rand_a.jpg
178,happiness,26M_HA_C100_cell18rand_a.jpg,18,100,26M_HA_C100_cell18rand_b.jpg,m,right,44,26M_HA_C100_cell18rand_a.jpg
179,fear,28M_FE_C100_cell18rand_a.jpg,18,100,28M_FE_C100_cell18rand_a.jpg,m,left,44,28M_FE_C100_cell18rand_b.jpg
180,happiness,06F_HA_C100_cell18rand_a.jpg,18,100,06F_HA_C100_cell18rand_a.jpg,f,left,45,06F_HA_C100_cell18rand_b.jpg
181,fear,04F_FE_C100_cell18rand_a.jpg,18,100,04F_FE_C100_cell18rand_a.jpg,f,left,45,04F_FE_C100_cell18rand_b.jpg
182,fear,21M_FE_C100_cell18rand_a.jpg,18,100,21M_FE_C100_cell18rand_b.jpg,m,right,45,21M_FE_C100_cell18rand_a.jpg
183,happiness,01F_HA_C100_cell18rand_a.jpg,18,100,01F_HA_C100_cell18rand_a.jpg,f,left,45,01F_HA_C100_cell18rand_b.jpg
184,fear,26M_FE_C100_cell18rand_a.jpg,18,100,26M_FE_C100_cell18rand_a.jpg,m,left,46,26M_FE_C100_cell18rand_b.jpg
185,fear,24M_FE_C100_cell18rand_a.jpg,18,100,24M_FE_C100_cell18rand_a.jpg,m,left,46,24M_FE_C100_cell18rand_b.jpg
186,fear,01F_FE_C100_cell18rand_a.jpg,18,100,01F_FE_C100_cell18rand_a.jpg,f,left,46,01F_FE_C100_cell18rand_b.jpg
187,happiness,07F_HA_C100_cell18rand_a.jpg,18,100,07F_HA_C100_cell18rand_b.jpg,f,right,46,07F_HA_C100_cell18rand_a.jpg
188,happiness,25M_HA_C100_cell18rand_a.jpg,18,100,25M_HA_C100_cell18rand_b.jpg,m,right,47,25M_HA_C100_cell18rand_a.jpg
189,happiness,27M_HA_C100_cell18rand_a.jpg,18,100,27M_HA_C100_cell18rand_a.jpg,m,left,47,27M_HA_C100_cell18rand_b.jpg
190,happiness,03F_HA_C100_cell18rand_a.jpg,18,100,03F_HA_C100_cell18rand_b.jpg,f,right,47,03F_HA_C100_cell18rand_a.jpg
191,fear,07F_FE_C100_cell18rand_a.jpg,18,100,07F_FE_C100_cell18rand_b.jpg,f,right,47,07F_FE_C100_cell18rand_a.jpg
192,happiness,28M_HA_C100_cell22rand_a.jpg,22,100,28M_HA_C100_cell22rand_b.jpg,m,right,48,28M_HA_C100_cell22rand_a.jpg
193,fear,28M_FE_C100_cell22rand_a.jpg,22,100,28M_FE_C100_cell22rand_a.jpg,m,left,48,28M_FE_C100_cell22rand_b.jpg
194,fear,24M_FE_C100_cell22rand_a.jpg,22,100,24M_FE_C100_cell22rand_b.jpg,m,right,48,24M_FE_C100_cell22rand_a.jpg
195,happiness,26M_HA_C100_cell22rand_a.jpg,22,100,26M_HA_C100_cell22rand_b.jpg,m,right,48,26M_HA_C100_cell22rand_a.jpg
196,happiness,27M_HA_C100_cell22rand_a.jpg,22,100,27M_HA_C100_cell22rand_a.jpg,m,left,49,27M_HA_C100_cell22rand_b.jpg
197,fear,23M_FE_C100_cell22rand_a.jpg,22,100,23M_FE_C100_cell22rand_a.jpg,m,left,49,23M_FE_C100_cell22rand_b.jpg
198,fear,04F_FE_C100_cell22rand_a.jpg,22,100,04F_FE_C100_cell22rand_b.jpg,f,right,49,04F_FE_C100_cell22rand_a.jpg
199,happiness,24M_HA_C100_cell22rand_a.jpg,22,100,24M_HA_C100_cell22rand_a.jpg,m,left,49,24M_HA_C100_cell22rand_b.jpg
200,fear,03F_FE_C100_cell22rand_a.jpg,22,100,03F_FE_C100_cell22rand_b.jpg,f,right,50,03F_FE_C100_cell22rand_a.jpg
201,happiness,23M_HA_C100_cell22rand_a.jpg,22,100,23M_HA_C100_cell22rand_b.jpg,m,right,50,23M_HA_C100_cell22rand_a.jpg
202,happiness,22M_HA_C100_cell22rand_a.jpg,22,100,22M_HA_C100_cell22rand_b.jpg,m,right,50,22M_HA_C100_cell22rand_a.jpg
203,fear,08F_FE_C100_cell22rand_a.jpg,22,100,08F_FE_C100_cell22rand_b.jpg,f,right,50,08F_FE_C100_cell22rand_a.jpg
204,happiness,21M_HA_C100_cell22rand_a.jpg,22,100,21M_HA_C100_cell22rand_a.jpg,m,left,51,21M_HA_C100_cell22rand_b.jpg
205,happiness,06F_HA_C100_cell22rand_a.jpg,22,100,06F_HA_C100_cell22rand_b.jpg,f,right,51,06F_HA_C100_cell22rand_a.jpg
206,fear,21M_FE_C100_cell22rand_a.jpg,22,100,21M_FE_C100_cell22rand_b.jpg,m,right,51,21M_FE_C100_cell22rand_a.jpg
207,fear,22M_FE_C100_cell22rand_a.jpg,22,100,22M_FE_C100_cell22rand_a.jpg,m,left,51,22M_FE_C100_cell22rand_b.jpg
208,happiness,08F_HA_C100_cell22rand_a.jpg,22,100,08F_HA_C100_cell22rand_a.jpg,f,left,52,08F_HA_C100_cell22rand_b.jpg
209,fear,27M_FE_C100_cell22rand_a.jpg,22,100,27M_FE_C100_cell22rand_b.jpg,m,right,52,27M_FE_C100_cell22rand_a.jpg
210,fear,26M_FE_C100_cell22rand_a.jpg,22,100,26M_FE_C100_cell22rand_b.jpg,m,right,52,26M_FE_C100_cell22rand_a.jpg
211,fear,07F_FE_C100_cell22rand_a.jpg,22,100,07F_FE_C100_cell22rand_a.jpg,f,left,52,07F_FE_C100_cell22rand_b.jpg
212,fear,05F_FE_C100_cell22rand_a.jpg,22,100,05F_FE_C100_cell22rand_b.jpg,f,right,53,05F_FE_C100_cell22rand_a.jpg
213,happiness,01F_HA_C100_cell22rand_a.jpg,22,100,01F_HA_C100_cell22rand_b.jpg,f,right,53,01F_HA_C100_cell22rand_a.jpg
214,fear,02F_FE_C100_cell22rand_a.jpg,22,100,02F_FE_C100_cell22rand_a.jpg,f,left,53,02F_FE_C100_cell22rand_b.jpg
215,fear,06F_FE_C100_cell22rand_a.jpg,22,100,06F_FE_C100_cell22rand_a.jpg,f,left,53,06F_FE_C100_cell22rand_b.jpg
216,happiness,25M_HA_C100_cell22rand_a.jpg,22,100,25M_HA_C100_cell22rand_a.jpg,m,left,54,25M_HA_C100_cell22rand_b.jpg
217,happiness,03F_HA_C100_cell22rand_a.jpg,22,100,03F_HA_C100_cell22rand_a.jpg,f,left,54,03F_HA_C100_cell22rand_b.jpg
218,happiness,07F_HA_C100_cell22rand_a.jpg,22,100,07F_HA_C100_cell22rand_b.jpg,f,right,54,07F_HA_C100_cell22rand_a.jpg
219,happiness,05F_HA_C100_cell22rand_a.jpg,22,100,05F_HA_C100_cell22rand_a.jpg,f,left,54,05F_HA_C100_cell22rand_b.jpg
220,happiness,04F_HA_C100_cell22rand_a.jpg,22,100,04F_HA_C100_cell22rand_a.jpg,f,left,55,04F_HA_C100_cell22rand_b.jpg
221,fear,25M_FE_C100_cell22rand_a.jpg,22,100,25M_FE_C100_cell22rand_b.jpg,m,right,55,25M_FE_C100_cell22rand_a.jpg
222,happiness,02F_HA_C100_cell22rand_a.jpg,22,100,02F_HA_C100_cell22rand_a.jpg,f,left,55,02F_HA_C100_cell22rand_b.jpg
223,fear,01F_FE_C100_cell22rand_a.jpg,22,100,01F_FE_C100_cell22rand_a.jpg,f,left,55,01F_FE_C100_cell22rand_b.jpg
